sentence_id,model,aer,total_missing,primary_category,confidence,SUBJECT_VERB,MWE_PHRASES,MWE_ENTITIES,FUNCTION_WORDS,HIGH_FERTILITY,GOLD_ERROR
a1102,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10553,B4,0.33333333333333337,2,GOLD_ERROR,high,0,0,0,0,0,1
a10691,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a10855,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a11562,B4,0.19999999999999996,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a10423,B4,0.06666666666666665,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a1005,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,1,0,0,0,0
a11472,B4,0.25,3,SUBJECT_VERB,high,1,0,0,1,0,0
a10711,B4,0.09999999999999998,2,MWE_PHRASES,high,0,1,0,0,0,0
a10458,B4,0.25,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10994,B4,0.052631578947368474,1,MWE_PHRASES,high,0,1,0,0,0,0
a11219,B4,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a12287,B4,0.19999999999999996,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a12186,B4,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a12021,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12164,B4,0.23076923076923073,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a10065,B4,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,0,0,0
a12867,B4,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,1,0,0
a12912,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12308,B4,0.23076923076923073,2,MWE_PHRASES,high,0,1,0,0,0,0
a12187,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12943,B4,0.25,4,HIGH_FERTILITY,high,1,0,0,1,1,0
a1289,B4,0.33333333333333337,2,MWE_PHRASES,high,0,1,0,1,0,0
a1584,B4,0.11111111111111116,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a13635,B4,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,1,1,0
a2027,B4,0.052631578947368474,1,MWE_PHRASES,high,0,1,0,0,0,0
a13387,B4,0.25,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a2126,B4,0.11111111111111116,1,GOLD_ERROR,high,0,0,0,0,0,1
a12216,B4,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,0,0,0
a11629,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,1,0,0,0,0
a12749,B4,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
a1208,B4,0.2222222222222222,3,GOLD_ERROR,high,0,1,0,1,1,1
a13474,B4,0.25,2,SUBJECT_VERB,high,1,1,0,0,0,0
a1384,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a1810,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,1,0,0
a2071,B4,0.33333333333333337,3,MWE_PHRASES,high,0,1,0,1,0,0
a12540,B4,0.33333333333333337,2,SUBJECT_VERB,high,1,0,0,1,0,0
a1782,B4,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
a2081,B4,0.19999999999999996,2,MWE_PHRASES,high,1,1,0,0,0,0
a2281,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a2360,B4,0.05882352941176472,1,HIGH_FERTILITY,high,0,0,0,1,1,0
a2389,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
